date,employee_id,role,warehouse_id,shift,tasks_completed,picks,hours_worked,picks_per_hour,errors,rework,overtime_hours
2025-03-03,E-1033,Picker,WH-01,Day,91,90,10.810700917014119,8.325084625952053,3,1,1.4550794969085938
2025-08-20,E-1079,Packer,WH-03,Night,103,165,10.068362877230708,16.387967141424987,4,2,1.8763660165172311
2025-04-10,E-1062,Picker,WH-02,Day,168,156,10.238255554785747,15.236970709046203,0,2,2.7134864056450514
2024-03-06,E-1094,Picker,WH-03,Night,179,197,10.123904690335735,19.45889516206686,1,2,2.608771699816545
2025-06-29,E-1075,Supervisor,WH-01,Day,94,198,10.435718433457325,18.973298413763654,0,2,0.513332268329795
2024-04-09,E-1047,Picker,WH-02,Night,50,52,11.367749212852017,4.57434440418605,4,1,2.7780764986018656
2026-01-03,E-1032,Supervisor,WH-02,Day,76,78,9.247374917769669,8.434826174303362,0,1,0.8091650646960038
2025-07-04,E-1147,Supervisor,WH-02,Day,151,55,9.940437761114081,5.532955521853782,0,0,1.5267948826928235
2025-02-18,E-1149,Picker,WH-03,Night,116,71,8.38923454179133,8.463227443017653,3,1,2.918832127246962
2025-04-15,E-1010,Supervisor,WH-02,Day,185,196,8.542276876535887,22.944702312140816,3,1,1.2829033533094734
2025-07-27,E-1117,Supervisor,WH-03,Night,123,144,10.374965273877256,13.879564528526405,2,2,3.048721712944436
2026-02-14,E-1024,Packer,WH-01,Day,139,114,8.677234817979546,13.137825861735108,3,2,1.8463174961533921
2025-03-25,E-1114,Picker,WH-03,Day,153,150,7.784917506618879,19.268026908758795,3,2,0.2946639945996705
2024-09-19,E-1130,Packer,WH-01,Night,116,61,10.950578080441636,5.570482174721855,3,1,2.168269291837256
2024-07-23,E-1130,Packer,WH-03,Night,175,190,6.931443173247328,27.411319006888206,1,1,3.646202533805034
2024-11-25,E-1036,Supervisor,WH-03,Night,128,75,8.196068528784174,9.150728759356248,0,1,2.8287386299261374
2024-09-01,E-1118,Supervisor,WH-01,Night,180,172,9.700849807469908,17.73040541948763,0,0,1.100363184105119
2025-01-06,E-1021,Packer,WH-01,Day,53,180,10.107077095213107,17.809303155038883,2,2,3.446959610130665
2025-04-27,E-1075,Packer,WH-01,Night,121,119,9.509145613231414,12.51426835176638,2,2,2.592846763956191
2024-09-04,E-1110,Picker,WH-01,Night,121,57,6.003167062114994,9.494988130468279,3,2,3.0598335795955274
2024-12-06,E-1136,Packer,WH-01,Night,130,54,9.176657415574027,5.8844955798779965,2,2,3.1040264853682347
2025-09-11,E-1124,Packer,WH-01,Night,132,93,10.569240961782853,8.799118152029761,3,2,3.7357635946749226
2024-07-07,E-1059,Supervisor,WH-02,Day,174,85,8.344736544041549,10.186061543272226,0,0,1.115067201114512
2024-10-19,E-1084,Supervisor,WH-02,Day,86,187,6.720848205621593,27.82386899373587,1,1,3.523013196439633
2025-08-13,E-1039,Picker,WH-03,Night,105,163,10.37140466539101,15.7162896694143,2,2,0.5484097894158357
2024-07-19,E-1076,Packer,WH-03,Day,83,112,7.811370134597183,14.338073611944598,2,2,2.982761172459349
2024-03-02,E-1052,Picker,WH-02,Day,56,101,8.345042453597518,12.102994150312472,1,1,0.07669816501513793
2024-12-11,E-1050,Picker,WH-01,Day,109,177,9.270828879812175,19.09214400294119,3,0,3.116200464156484
2025-08-31,E-1121,Picker,WH-01,Night,75,79,10.37030660612082,7.6179039830290245,0,0,1.2672156273663897
2025-06-26,E-1026,Picker,WH-03,Day,130,198,7.657724005563916,25.856246563096033,4,1,0.8753192217050447
2026-02-19,E-1118,Picker,WH-03,Day,184,110,8.822529516159966,12.468079568168774,3,1,0.767477371445024
2025-01-07,E-1126,Supervisor,WH-03,Night,140,80,9.348303452398909,8.557702518682238,0,0,2.0421160786035637
2024-06-28,E-1132,Supervisor,WH-03,Day,69,120,11.162878177355033,10.749915755905272,1,1,0.5713582017764831
2025-09-05,E-1078,Supervisor,WH-01,Night,174,114,10.08982217820844,11.298514283652318,1,2,1.680380735190084
2025-07-03,E-1072,Supervisor,WH-02,Day,180,124,8.75663184269451,14.160695827751491,0,2,1.9669078544175207
2025-02-26,E-1065,Supervisor,WH-02,Day,170,167,7.471159655456932,22.35262097203655,1,0,2.6873405767410046
2025-06-30,E-1053,Packer,WH-03,Night,195,52,10.39932170322172,5.000326125490507,1,1,3.955860507385817
2025-03-19,E-1039,Picker,WH-01,Night,79,97,9.263146258115158,10.471604063794336,4,2,3.427646588081181
2024-08-15,E-1062,Supervisor,WH-03,Day,90,142,7.040463170020882,20.169127594424847,2,0,3.9491471023331903
2025-07-17,E-1134,Packer,WH-01,Night,90,172,8.281235630594388,20.76984736004362,1,0,0.49463888871772754
2025-08-27,E-1079,Supervisor,WH-02,Night,139,120,10.896217504177558,11.012996019397793,3,0,0.30011343016627423
2025-06-26,E-1041,Packer,WH-02,Day,87,76,7.383522600812265,10.293189864637132,0,1,3.497220460405663
2025-04-30,E-1024,Picker,WH-03,Day,63,86,9.015210142966026,9.539433760964533,1,2,2.3684828784256635
2024-03-17,E-1012,Supervisor,WH-01,Night,172,80,10.207179099466325,7.8376208764851345,2,1,2.2501895416510758
2024-03-06,E-1042,Supervisor,WH-02,Night,162,134,8.091945411073247,16.559676714653882,3,0,3.1816245159379495
2024-04-04,E-1024,Packer,WH-01,Day,52,141,9.29736121287733,15.1655934164102,1,1,0.959448999908179
2026-02-10,E-1132,Packer,WH-02,Day,185,88,8.561350655636527,10.27875197963811,1,0,0.36472077020742066
2025-06-12,E-1138,Picker,WH-01,Night,136,111,9.530643994652443,11.646642143204707,1,1,0.4003235796138802
2024-10-11,E-1107,Picker,WH-01,Day,184,144,11.169406095955154,12.892359608282808,2,2,1.506979168382264
2024-08-01,E-1024,Packer,WH-03,Night,68,83,6.868005990351268,12.085021491915578,3,0,2.3369341988367207
2024-09-30,E-1123,Picker,WH-02,Night,70,83,9.867042470707037,8.41184176985229,1,2,1.1679093955876976
2025-07-21,E-1087,Supervisor,WH-01,Night,179,79,10.758574398453932,7.34298031264744,2,2,0.9225694815343441
2025-07-04,E-1077,Supervisor,WH-02,Day,163,130,6.083146732617295,21.37051853491409,4,2,0.7665554492607254
2024-05-31,E-1120,Supervisor,WH-03,Night,99,136,8.714275831107805,15.606575077014856,3,0,1.8921135975722576
2024-09-23,E-1063,Supervisor,WH-01,Day,114,139,9.099587227023884,15.275418162617187,0,0,0.4411709401431616
2025-09-25,E-1040,Supervisor,WH-01,Night,74,151,11.037897120168886,13.680142001331648,0,1,1.6004161383077284
2025-08-09,E-1054,Picker,WH-01,Day,173,50,8.720819081573806,5.733406407391808,4,0,3.2137364904753705
2025-05-09,E-1053,Supervisor,WH-01,Day,110,52,10.483194637588461,4.960319997641673,1,1,0.6451425658792607
2024-11-20,E-1133,Picker,WH-02,Night,67,77,11.353382731316161,6.782119639780138,3,0,3.5037682894554507
2024-04-30,E-1085,Supervisor,WH-02,Night,143,197,11.824783260462512,16.659924808828553,4,0,0.32400379752855013
2024-10-08,E-1101,Packer,WH-03,Day,80,149,8.353220923497545,17.837430778451477,0,2,0.04479611555284002
2025-10-22,E-1051,Supervisor,WH-01,Day,160,99,6.307800525565218,15.694852682604287,3,1,3.8140300983630664
2025-07-08,E-1015,Picker,WH-01,Day,165,172,7.014430433482671,24.520879012353657,2,2,2.1580219289742124
2024-09-16,E-1002,Picker,WH-01,Night,55,125,6.285208154412362,19.88796503298735,2,2,0.5568363086959263
2024-09-19,E-1109,Packer,WH-01,Night,106,148,6.977965847167467,21.209619427999485,3,2,0.0920934031532159
2025-02-24,E-1107,Supervisor,WH-01,Day,184,87,7.466019902284247,11.6527950820734,0,0,1.1170733288213226
2026-02-26,E-1119,Picker,WH-02,Day,187,165,9.233155066606365,17.87038112213202,0,1,3.877695594318463
2024-08-03,E-1029,Picker,WH-03,Day,52,166,6.4964685762243874,25.552344023878238,2,0,0.379359133535611
2025-07-07,E-1081,Supervisor,WH-01,Day,68,85,9.881911196268227,8.601574969839755,4,1,3.0884090997131284
2025-03-01,E-1098,Supervisor,WH-01,Night,91,91,11.949544390073427,7.615353107152299,0,2,0.3716698063325694
2024-06-27,E-1146,Supervisor,WH-01,Night,139,131,6.256531113132105,20.9381201229925,0,1,3.867639721929789
2024-08-05,E-1061,Packer,WH-01,Day,51,143,8.928761720822168,16.015658662557794,0,2,2.165907407967592
2025-11-17,E-1135,Packer,WH-03,Day,180,91,6.544185220936906,13.905474391046022,4,1,3.541639667298132
2024-07-05,E-1028,Picker,WH-02,Night,63,61,9.667402977984434,6.309864204369594,3,2,3.2740868545130026
2025-04-20,E-1029,Supervisor,WH-03,Day,150,183,10.89688252897183,16.79379396019486,1,2,1.747075724467659
2024-06-07,E-1148,Supervisor,WH-03,Day,124,65,11.727506002923093,5.5425254085394355,0,2,3.816889753630946
2024-04-05,E-1086,Picker,WH-02,Day,161,98,10.938662236000605,8.959047997429598,4,0,2.6187043384644486
2025-09-23,E-1141,Supervisor,WH-03,Day,159,161,6.195146973587403,25.988084009372624,2,1,0.39781248910315403
2025-12-25,E-1140,Picker,WH-02,Day,102,103,9.50843759617797,10.832484197130565,1,2,0.1139721609126294
2024-12-13,E-1107,Supervisor,WH-02,Day,118,145,9.167132346613842,15.817378272449632,4,2,2.734090557494658
2024-07-31,E-1008,Packer,WH-03,Day,100,74,7.287565639389773,10.154282467114275,1,1,1.3175003011898254
2024-09-09,E-1012,Supervisor,WH-03,Day,190,194,7.949922986678116,24.4027521178621,0,1,2.5611713896764305
