po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty
PO10000,SUP-003,Supplier C,CL-7781,2026-01-15,2026-01-22,398,384,7,14
PO10001,SUP-003,Supplier C,MN-5544,2024-11-20,2024-12-01,121,101,11,20
PO10002,SUP-003,Supplier C,ZX-9910,2025-08-18,2025-08-25,171,153,7,18
PO10003,SUP-002,Supplier B,MN-5544,2024-12-19,2024-12-26,380,370,7,10
PO10004,SUP-003,Supplier C,ZX-9910,2024-03-07,2024-03-15,149,110,8,39
PO10005,SUP-002,Supplier B,ZX-9910,2025-05-13,2025-05-21,180,159,8,21
PO10006,SUP-003,Supplier C,BR-2208,2025-05-03,2025-05-08,307,284,5,23
PO10007,SUP-003,Supplier C,MN-5544,2025-06-17,2025-06-23,241,221,6,20
PO10008,SUP-001,Supplier A,CL-7781,2025-07-21,2025-07-22,363,342,1,21
PO10009,SUP-002,Supplier B,CL-7781,2024-11-22,2024-12-01,98,72,9,26
PO10010,SUP-001,Supplier A,MN-5544,2024-05-15,2024-05-26,219,192,11,27
PO10011,SUP-003,Supplier C,ZX-9910,2024-09-25,2024-09-28,104,102,3,2
PO10012,SUP-003,Supplier C,MN-5544,2024-11-30,2024-12-05,356,350,5,6
PO10013,SUP-001,Supplier A,ZX-9910,2026-01-04,2026-01-09,378,340,5,38
PO10014,SUP-003,Supplier C,BR-2208,2025-04-04,2025-04-06,138,125,2,13
PO10015,SUP-001,Supplier A,MN-5544,2025-12-02,2025-12-04,314,289,2,25
PO10016,SUP-002,Supplier B,CL-7781,2024-06-12,2024-06-17,389,362,5,27
PO10017,SUP-003,Supplier C,MN-5544,2024-05-15,2024-05-22,313,279,7,34
PO10018,SUP-003,Supplier C,CL-7781,2025-08-10,2025-08-11,99,60,1,39
PO10019,SUP-001,Supplier A,AX-4312,2025-08-29,2025-09-02,51,46,4,5
PO10020,SUP-001,Supplier A,MN-5544,2025-12-01,2025-12-07,155,152,6,3
PO10021,SUP-001,Supplier A,ZX-9910,2025-01-10,2025-01-16,240,223,6,17
PO10022,SUP-002,Supplier B,CL-7781,2024-05-08,2024-05-18,93,60,10,33
PO10023,SUP-003,Supplier C,AX-4312,2025-05-20,2025-05-30,319,289,10,30
PO10024,SUP-002,Supplier B,ZX-9910,2024-09-03,2024-09-11,264,225,8,39
PO10025,SUP-002,Supplier B,CL-7781,2025-05-14,2025-05-19,257,240,5,17
PO10026,SUP-001,Supplier A,AX-4312,2025-03-13,2025-03-18,329,304,5,25
PO10027,SUP-002,Supplier B,MN-5544,2024-05-29,2024-06-07,301,273,9,28
PO10028,SUP-002,Supplier B,ZX-9910,2025-08-29,2025-08-30,394,388,1,6
PO10029,SUP-001,Supplier A,BR-2208,2025-05-30,2025-06-08,393,393,9,0
PO10030,SUP-003,Supplier C,CL-7781,2025-01-03,2025-01-11,112,102,8,10
PO10031,SUP-002,Supplier B,MN-5544,2025-02-11,2025-02-14,130,123,3,7
PO10032,SUP-002,Supplier B,CL-7781,2025-11-25,2025-11-28,338,334,3,4
PO10033,SUP-002,Supplier B,MN-5544,2026-02-01,2026-02-11,280,253,10,27
PO10034,SUP-002,Supplier B,CL-7781,2025-07-10,2025-07-17,250,243,7,7
PO10035,SUP-003,Supplier C,AX-4312,2025-02-25,2025-02-27,82,60,2,22
PO10036,SUP-001,Supplier A,ZX-9910,2025-06-03,2025-06-11,342,308,8,34
PO10037,SUP-001,Supplier A,MN-5544,2025-10-16,2025-10-24,263,237,8,26
PO10038,SUP-001,Supplier A,ZX-9910,2025-06-08,2025-06-11,276,240,3,36
PO10039,SUP-002,Supplier B,AX-4312,2025-02-20,2025-02-23,306,302,3,4
PO10040,SUP-001,Supplier A,MN-5544,2025-07-17,2025-07-27,304,291,10,13
PO10041,SUP-003,Supplier C,CL-7781,2025-02-19,2025-02-26,332,324,7,8
PO10042,SUP-003,Supplier C,BR-2208,2026-01-01,2026-01-11,91,79,10,12
PO10043,SUP-001,Supplier A,MN-5544,2025-05-04,2025-05-07,112,81,3,31
PO10044,SUP-002,Supplier B,CL-7781,2026-01-02,2026-01-09,290,259,7,31
