snapshot_date,warehouse_id,warehouse_name,location,part_number,sku_family,on_hand_qty,available_qty,safety_stock,reorder_point,days_of_supply,stockout_flag,age_days
2025-10-01,WH-03,Warehouse WH-03,A5-03,ZX-9910,ZX,316,260,156,227,88,1,239
2025-04-27,WH-01,Warehouse WH-01,A2-05,AX-4312,AX,390,383,166,197,68,0,202
2025-10-21,WH-02,Warehouse WH-02,A5-05,AX-4312,AX,213,120,173,194,86,0,153
2025-09-23,WH-02,Warehouse WH-02,A3-01,ZX-9910,ZX,141,64,145,277,18,1,356
2025-02-15,WH-03,Warehouse WH-03,A2-05,MN-5544,MN,276,224,162,263,28,1,311
2025-09-24,WH-03,Warehouse WH-03,A2-02,MN-5544,MN,270,207,144,231,16,1,20
2026-01-25,WH-03,Warehouse WH-03,A5-04,CL-7781,CL,575,543,160,245,69,1,167
2024-05-14,WH-01,Warehouse WH-01,A1-01,ZX-9910,ZX,491,456,173,187,87,0,319
2025-11-16,WH-02,Warehouse WH-02,A4-05,ZX-9910,ZX,511,427,85,143,53,0,83
2024-10-26,WH-01,Warehouse WH-01,A4-04,AX-4312,AX,459,382,129,243,12,1,271
2024-12-28,WH-01,Warehouse WH-01,A5-01,AX-4312,AX,338,247,119,288,69,0,262
2025-05-25,WH-01,Warehouse WH-01,A2-05,BR-2208,BR,578,546,122,241,21,1,193
2024-05-29,WH-02,Warehouse WH-02,A4-01,ZX-9910,ZX,110,94,172,255,64,1,218
2026-02-06,WH-02,Warehouse WH-02,A5-04,MN-5544,MN,353,264,92,132,38,0,239
2025-09-04,WH-01,Warehouse WH-01,A4-03,BR-2208,BR,189,167,165,140,54,0,158
2025-06-13,WH-02,Warehouse WH-02,A4-05,ZX-9910,ZX,480,405,152,279,75,0,152
2024-04-09,WH-02,Warehouse WH-02,A2-02,CL-7781,CL,71,0,168,248,3,1,28
2025-01-09,WH-03,Warehouse WH-03,A1-05,AX-4312,AX,45,45,117,221,35,1,204
2025-10-07,WH-03,Warehouse WH-03,A4-05,BR-2208,BR,201,148,177,143,28,1,16
2025-09-28,WH-03,Warehouse WH-03,A1-05,AX-4312,AX,524,425,179,181,43,0,78
