order_number,customer_id,customer_name,part_number,order_date,promise_date,shipped_date,qty_ordered,qty_shipped,backorder_qty,otif_flag,fill_rate
SO20000,CUST-003,Customer Z,CL-7781,2025-05-12,2025-05-14,2025-05-13,25,25,0,1,1.0
SO20001,CUST-003,Customer Z,ZX-9910,2025-12-03,2025-12-06,2025-12-08,24,15,9,0,0.625
SO20002,CUST-001,Customer X,CL-7781,2024-10-26,2024-10-29,2024-10-28,38,38,0,1,1.0
SO20003,CUST-003,Customer Z,BR-2208,2024-09-07,2024-09-09,2024-09-10,14,9,5,0,0.6428571428571429
SO20004,CUST-002,Customer Y,AX-4312,2025-06-13,2025-06-17,2025-06-16,17,17,0,1,1.0
SO20005,CUST-002,Customer Y,CL-7781,2024-05-20,2024-05-21,2024-05-23,19,19,0,0,1.0
SO20006,CUST-003,Customer Z,BR-2208,2024-04-07,2024-04-11,2024-04-12,27,27,0,0,1.0
SO20007,CUST-002,Customer Y,ZX-9910,2024-08-04,2024-08-05,2024-08-05,17,8,9,0,0.47058823529411764
SO20008,CUST-001,Customer X,ZX-9910,2024-08-20,2024-08-24,2024-08-25,35,35,0,0,1.0
SO20009,CUST-001,Customer X,AX-4312,2025-04-06,2025-04-09,2025-04-08,14,7,7,0,0.5
SO20010,CUST-002,Customer Y,AX-4312,2024-05-24,2024-05-25,2024-05-24,9,4,5,0,0.4444444444444444
SO20011,CUST-003,Customer Z,AX-4312,2025-07-16,2025-07-18,2025-07-19,21,18,3,0,0.8571428571428571
SO20012,CUST-001,Customer X,ZX-9910,2025-10-09,2025-10-13,2025-10-12,6,2,4,0,0.3333333333333333
SO20013,CUST-003,Customer Z,AX-4312,2024-09-16,2024-09-17,2024-09-19,29,27,2,0,0.9310344827586207
SO20014,CUST-001,Customer X,ZX-9910,2024-09-08,2024-09-09,2024-09-09,27,18,9,0,0.6666666666666666
SO20015,CUST-002,Customer Y,CL-7781,2025-03-09,2025-03-11,2025-03-12,14,9,5,0,0.6428571428571429
SO20016,CUST-001,Customer X,CL-7781,2024-09-27,2024-09-29,2024-09-29,6,5,1,0,0.8333333333333334
SO20017,CUST-003,Customer Z,ZX-9910,2025-08-25,2025-08-29,2025-08-29,20,20,0,1,1.0
SO20018,CUST-001,Customer X,MN-5544,2025-12-09,2025-12-10,2025-12-12,17,13,4,0,0.7647058823529411
SO20019,CUST-001,Customer X,MN-5544,2025-08-14,2025-08-18,2025-08-20,14,10,4,0,0.7142857142857143
SO20020,CUST-003,Customer Z,ZX-9910,2025-12-21,2025-12-23,2025-12-24,15,11,4,0,0.7333333333333333
SO20021,CUST-001,Customer X,ZX-9910,2025-02-02,2025-02-05,2025-02-07,24,20,4,0,0.8333333333333334
SO20022,CUST-003,Customer Z,AX-4312,2025-09-02,2025-09-04,2025-09-03,14,13,1,0,0.9285714285714286
SO20023,CUST-001,Customer X,BR-2208,2025-07-31,2025-08-02,2025-08-02,13,11,2,0,0.8461538461538461
SO20024,CUST-002,Customer Y,BR-2208,2024-04-26,2024-04-29,2024-04-29,8,3,5,0,0.375
SO20025,CUST-002,Customer Y,BR-2208,2024-04-29,2024-05-01,2024-05-03,30,24,6,0,0.8
SO20026,CUST-001,Customer X,CL-7781,2024-04-25,2024-04-26,2024-04-27,10,2,8,0,0.2
SO20027,CUST-002,Customer Y,MN-5544,2024-05-26,2024-05-30,2024-05-31,11,2,9,0,0.18181818181818182
SO20028,CUST-003,Customer Z,BR-2208,2025-04-12,2025-04-16,2025-04-16,29,27,2,0,0.9310344827586207
SO20029,CUST-003,Customer Z,BR-2208,2024-07-16,2024-07-19,2024-07-19,27,19,8,0,0.7037037037037037
SO20030,CUST-002,Customer Y,ZX-9910,2024-10-17,2024-10-19,2024-10-19,20,12,8,0,0.6
SO20031,CUST-003,Customer Z,BR-2208,2025-10-09,2025-10-13,2025-10-12,39,31,8,0,0.7948717948717948
SO20032,CUST-001,Customer X,AX-4312,2025-01-29,2025-01-30,2025-01-31,25,20,5,0,0.8
SO20033,CUST-001,Customer X,BR-2208,2025-02-14,2025-02-16,2025-02-18,6,1,5,0,0.16666666666666666
SO20034,CUST-003,Customer Z,BR-2208,2024-03-28,2024-04-01,2024-04-01,32,28,4,0,0.875
SO20035,CUST-002,Customer Y,MN-5544,2024-08-12,2024-08-13,2024-08-12,14,8,6,0,0.5714285714285714
SO20036,CUST-001,Customer X,MN-5544,2025-01-05,2025-01-09,2025-01-10,14,9,5,0,0.6428571428571429
SO20037,CUST-002,Customer Y,CL-7781,2024-05-16,2024-05-20,2024-05-19,21,19,2,0,0.9047619047619048
SO20038,CUST-001,Customer X,BR-2208,2024-04-30,2024-05-02,2024-05-03,7,6,1,0,0.8571428571428571
SO20039,CUST-002,Customer Y,AX-4312,2025-01-12,2025-01-16,2025-01-17,18,17,1,0,0.9444444444444444
SO20040,CUST-001,Customer X,CL-7781,2024-05-08,2024-05-09,2024-05-09,35,26,9,0,0.7428571428571429
SO20041,CUST-001,Customer X,MN-5544,2025-03-22,2025-03-26,2025-03-26,22,14,8,0,0.6363636363636364
SO20042,CUST-003,Customer Z,AX-4312,2024-08-01,2024-08-04,2024-08-03,23,16,7,0,0.6956521739130435
SO20043,CUST-003,Customer Z,CL-7781,2025-08-07,2025-08-11,2025-08-13,35,33,2,0,0.9428571428571428
